"id","post","native_id","article_account_id"
"27","However, I’m now stranded in the US indefinitely because of visa issues. China has closed its borders temporarily to foreign nationals and I’m in the Bay Area. Since people here don’t usually wear a mask and there’s less enforcement of directives, I find that I’m much more worried about actually getting the virus here than I was in Beijing, although I don’t advocate this approach for the US at all. I stay inside much more, and unless I need to go to the consulate or to go on a walk, I try not to leave my friend’s house whom I’m staying with.","1580012235","11"
"28","I haven’t left my apartment in weeks. My husband goes grocery shopping once a week, wearing a mask, and waits in line for one hour, sometimes two. I have two small children. Luckily we have balconies, so we just go out on the balcony. But they haven’t been out of the house in weeks, either.","1580012235","11"
"29","In an ideal world, no one would need to wear a protective mask at all. In a less-than-ideal world, only health care workers would require them, and masks that meet all of the CDC requirements would be provided in great stacks, allowing doctors, nurses, and hospital staff to safely do their jobs. In a slightly worse but still aspirational world, medical-grade masks would be readily accessible to everyone, and no one would need to be making them at home — for themselves, for the people they love, for the essential workers keeping us all safe. ","1580150218","11"
"30","We are not currently living in any of these worlds. In the world we are living in, the rise of homemade masks tells a complicated but hopeful story.","1580150218","11"
"31","There has been a great deal of confusion about mask guidelines since the start of the novel coronavirus pandemic, but current direction from the CDC indicates that everyone should be wearing a facial covering in certain public settings. While homemade masks are not as protective as N95s nor surgical masks, evidence suggests they are better than going without, and even better than a simple bandana, and you can make your own, even if you don’t have a sewing machine. As a result, people around the world are making masks for themselves and others.","1580150218","11"
"32","Vox put out a call to see your masks and hear your stories about how they came to be. You sent us dozens of photos representing hundreds of masks, along with powerful stories of people trying to help their family, friends, neighbors, and strangers in this uncertain time. From military personnel who learned to sew for this very purpose, to long-time crafters who used their supplies to sew personal protective equipment for hospital staff, to friends who made masks without being asked, these stories paint a picture of people working together to keep one another safe.","1580150218","11"
"33","I used material already in my home to minimize risk, I’m a crafty person so I had loads to work with. I found a pattern that was washable, had a pocket for a filter or to cover a surgical mask, and could have wire over the nose.","1580150218","11"
"34","I’m making masks for friends and family. All I asked was for the postage and for them not to mind the crazy fabrics I used for their masks. I also made about 20 for my sister who is a nurse, and I’m averaging 10 masks a day while working from home full time at my job.","1580150218","11"
"35","My friend made the mask for me. Her and her sister have been making a lot of masks at home, and posted on Facebook that did they were willing to give them away to people. My friend dropped it off in my mailbox and she has the same one I do.","1580150218","11"
"36","This mask is made of a pair of baseball pants on the outside and a dress shirt on the inside. I miss baseball so much, so this is my homage to America’s pastime. ","1580150218","11"
"37","This mask has a removable HEPA filter in between. I went with around-the-head elastic to avoid the over-ears style. I also sewed masks for my daughter and other family members. ","1580150218","11"
"38","I have since made over 117 masks and counting. I supplied them to my entire medical unit, some units who asked for help in another state, and working on my neighborhood and anyone with at-risk family members. ","1580150218","11"
"39","I’m a crafter so I used fabric, pipe cleaners, and elastics that I already had at home and I made it using my sewing machine. I used patterns that I found on a Vox article and YouTube tutorials from doctors and nurses. I made an inside pocket in each mask to add a filter but I have tried different patterns since not all fit the same. Especially with kids, it’s a learning process.","1580150218","11"
"40","At the University of Southern California, School of Dramatic Arts, most of the production staff (props, costumes, scenery) have been sewing cloth masks since March 16 for the USC Hospital system. Here I am modeling one! So far we’ve delivered over 400.","1580150218","11"
"41","My husband is an emergency doctor. I scavenged some of his old scrubs to make pleated masks, following a pattern I found online and modified to include a filter pocket. The scrubs material isn’t very thick, so these require a filter (blue shop towels) to be of any use, but they are comfortable and breathable and look sort of official because they’re scrub green. ","1580150218","11"
"42","I am not crafty, and I can barely use my sewing machine (see photo of crooked mask). But sewing these goddamn things has become my rage (i.e., at the state of the world) displacement activity, and I can’t stop making them now. I experiment with different designs. I sew a few every day and have started sending them to friends and family members. I rarely leave the house, so it’s not like I need all of these. ","1580150218","11"
"43","I’m afraid to wear it in public because I worry that being masked will make me (even more likely to become) a hate crime target. The couple of times I’ve worn one out, despite the current guidance, no one else was wearing one. My reluctance to be seen in one means sewing all of these masks makes even less sense. ","1580150218","11"
"44","I’ve currently made 30 masks, and I’m working on another batch right now. It started as just for my family, then my mom’s friends wanted some, and now I’m mailing them to the Houston Food Bank. It’s already a big transition from traditional school to online school, and the addition of making masks is tough to balance. As a senior in high school, I needed something I could control, after my entire year was stripped away. ","1580150218","11"
"45","I took donations. I didn’t want to charge, I know a lot of people lost even more income than I did/will be. I’m so glad I did it, even though it was a crazy week. [People I’ve made masks for] sent me pictures, and I’ve been able to share them with my son. I got to connect with very old friends and contribute from a distance.","1580150218","11"
"46","I was lucky to have funky fabric on hand, so each mask had a little style, but I’ll admit it made me sad to sew to mini masks for my nephew and a coworkers daughter. My heart broke a little that kiddos will remember this and have to learn to protect themselves all the more. ","1580150218","11"
"47","I work at a hospital and supplies are in demand. As interpreters, we’ve been removed from the “front lines” and are working remotely. If my using a homemade mask means our nurses have more on hand, I’m happy to.","1580150218","11"
"48","Gov. Andrew Cuomo has issued a new executive order that requires wearing face coverings in public. It will go into effect on Friday. The governor said that masks, bandanas, or scarves should be worn on public transit and anytime people are at risk of coming within less than six feet of each other. Cuomo said the rule could be enforced with civil penalties. (Cuomo, on Thursday, also extended New York’s coronavirus restrictions until at least May 15.)","1580268637","11"
"49","“Stopping the spread is everything,” Cuomo said during his daily briefing in Albany on Wednesday. “How can you not wear a mask when you’re going to come close to a person?”","1580268637","11"
"50","New York City Mayor Bill de Blasio had already urged city residents to wear face coverings in public, and other states have taken similar steps. In New Jersey, Gov. Phil Murphy has required the use of face coverings in stores and on transit. Gov. Larry Hogan in Maryland has issued similar guidelines. Earlier this month, Colorado Gov. Jared Polis gave a press conference encouraging the public to wear cloth masks, and modeled one himself.","1580268637","11"
"51","All officials are clear on one thing, though: Medical-grade masks need to be saved for the health care and essential workers on the frontlines. If you need a mask and don’t know where to get one, Vox’s Alanna Okun has a great explainer on how to make your own.","1580268637","11"
"52","Germany is slowly loosening up its lockdown coronavirus lockdown restrictions, German Chancellor Angela Merkel said Wednesday. The country is taking a gradual approach. Some of its shops will begin to open next week, though people must still keep their distance and Merkel is encouraging people to wear masks in public. The country also plans to reopen some schools May 4, though it will likely include mitigation strategies like smaller class sizes. ","1580268637","11"
"53","A fake Covid-19 testing kit is more dangerous than a fake Chanel bag. A counterfeit test could lead someone to believe they’re negative when they’ve been infected. A fake cure could leave someone worse off than before, and possibly dead. Even a phony N95 mask might mislead a doctor into believing they’re protected in a hospital full of Covid-19 patients, where faulty equipment can lead to more spreading of the virus. ","1581209639","11"
"54","Coronavirus-related scams aren’t limited to tests or treatments. As broken supply chains lead to shortages, instances of price-gouging and outright fraud regarding medical supplies are becoming increasingly worrisome. In late March, a health care workers union claimed to secure a stash of 39 million N95 masks to sell to hospitals, a huge claim at the time that many found dubious. The masks never ended up being delivered to some health care centers, and an attempted seizure by federal authorities revealed that they were part of an elaborate, international grift. ","1581209639","11"
"55","The forehead thermometers will remain as a secondary check for workers flagged by the thermal cameras; some workers quoted by Dastin and Hu reported feeling unsafe about performing the thermometer checks, with one saying, “a line once formed outside her warehouse, and employees could not receive masks until after they had entered the building and had their temperatures taken,” raising social distancing concerns.","1582166799","11"
"56","Amazon has raised warehouse pay and pushed new sanitation efforts like “staggered break times to promote social distancing,” forehead thermometers, mask distribution, and now, the thermal cameras — but it has resisted demands for fulfillment center shutdowns and paid leave for all (not just those with symptoms). In one case it even reopened a distribution center just one day after a worker tested positive.","1582166799","11"
"57","The United States government has ordered 20 million N95 masks for health care workers through a set of suppliers that are overwhelmingly unproven and untested, according to a new report from the Wall Street Journal.","1582277448","11"
"58","At least 80 percent of the masks, which are due to be delivered by the end of May, are being ordered from vendors which either haven’t done business with the government before or haven’t previously provided medical equipment specifically to the government. The government’s heavy reliance on untested suppliers of medical equipment raises questions about the quality of the masks, and whether they will be delivered in a timely fashion.","1582277448","11"
"59","The masks are being purchased for about $6 each through the $110 million contract — a price that is more expensive than the typical price of an N95 mask before the pandemic began, but is roughly in line with current market rates. ","1582277448","11"
"60","The fact that the government is counting on untested suppliers for a crucial piece of personal protective equipment (PPE) for health care providers is a worrying prospect at a time when there are widespread shortages of masks, gowns, gloves and other critical equipment for health care providers dealing with the coronavirus pandemic.  ","1582277448","11"
"61","N95 masks are more complex — and more complicated to make — than a surgical mask. As Recode’s Rebecca Heilweil explains, certified N95 masks are “special”:","1582277448","11"
"62","Unlike a conventional surgical mask, N95 masks are built so that 95 percent of very small airborne particles can’t get through. These masks also need to be approved by the CDC’s National Institute for Occupational Safety and Health and, depending on the type, the Food and Drug Administration. In order to fulfill those requirements, N95 masks must be constructed so that they seal tightly around one’s mouth and nose, unlike surgical or cloth masks which are loose-fitting. ... The masks themselves are difficult to make, in part because they require specialized equipment to meet stringent regulatory standards. ","1582277448","11"
"63","The federal government has placed separate PPE orders from traditional suppliers as well — including orders for 600 million N95 masks from huge, prominent vendors like 3M and Honeywell International Inc, according to the Journal. But those orders extend through next year, and those vendors also supply masks to many other clients. ","1582277448","11"
"64","When the government makes rushed contracts with less well-known vendors they also may be more likely to be susceptible to attempted fraud. The Justice Department recently disrupted a foreign criminal scheme in which two people or organizations attempted to fraudulently sell nearly 40 million N95 masks to health care providers in the US. ","1582277448","11"
"65","Unless or until scientists have data to back it up, though, the impact of social distancing is as much hypothesis and intuition as scientific fact. Luckily, a new study out of Hong Kong indicates that the precautious taken there — similar to those taken in the US, like closed schools, travel restrictions, mask-wearing, and general distancing — have had a measurable effect on the spread of Covid-19 and the flu. That should give people confidence that social distancing is working, even with its painful economic toll.","1583892585","11"
"66","In addition, the public has responded by changing their behavior. According to this new study, led by researchers from the WHO Collaborating Centre for Infectious Disease Epidemiology and Control in Hong Kong, most people say they are avoiding crowded places (85 percent in March) and staying home as much as possible (75 percent). People are practicing better hygiene, too: The percentage who said they wear masks jumped from 75 percent in January to 99 percent in March, and the percentage who say they wash their hands more than usual leaped from 71 percent to 95 percent. ","1583892585","11"
"67","President Trump’s federal social distancing guidelines are in effect until the end of April, but some states are aiming for more accelerated timelines. In Georgia, Republican Gov. Brian Kemp has said gyms, hair and nail salons, and bowling alleys can open by Friday if they follow social distancing rules, screen workers for fevers, and enforce mask-wearing. Starting next Monday, April 27, movie theaters will be allowed to reopen, and restaurants in the state will be allowed to resume limited dine-in service. Bars and nightclubs, however, will remain closed.","1584926841","11"
"68","In the United States, masks are more readily associated with crime than public health. We’re a nation of mask skeptics: Several states have enacted anti-mask laws throughout history as a means of quelling protest and stifling dissent. But the immediacy of the pandemic — the horror stories of bodies stacked up in refrigerated trucks, the overwhelmed hospitals, and the atmosphere of fear and paranoia created in its wake — will force Westerners to reconsider old stigmas associated with masks for the sake of public health. ","1585639308","11"
"69","The mask aversion is compounded by the longstanding epidemic of police violence against people of color, some of whom understandably fear the consequences of purchasing essential goods while cloaked in a prophylactic bandana. Even now, it’s easy for a mask to evoke dastardly connotations or be mistaken for a disguise. ","1585639308","11"
"70","“Wearing a mask may be even stranger to us than wearing a Speedo at the beach,” says Brandon Brown, an epidemiologist and associate professor at UC Riverside. “It’s just not the norm [in the US], so there is judgment, but there is nothing wrong with it.” ","1585639308","11"
"71","In China and other nations, masks are now part of everyday life, Abrar Chughtai, an epidemiologist and researcher at the University of New South Wales in Sydney, Australia, says via email. “Asian countries have faced such epidemics and pandemics more in the past,” he says, including SARS outbreak of 2002-2004, which still looms large in the public imagination in China and Hong Kong. ","1585639308","11"
"72","These nations have long understood face coverings as a public health resource and a tool for cultivating national unity. It’s routine, for example, to see people donning masks on the streets of Beijing, Seoul, or Taipei as they take to the streets or socialize with friends, because someone with a cough will likely be hesitant to put their neighbors in jeopardy. ","1585639308","11"
"73","But public sentiment on the issue of masks is evolving. Just as the US mobilizes to provide front-line workers with personal protective equipment amid mass shortages, brands are also swooping in to meet a surge in demand for masks that gel with modern consumer tastes. Cloth masks designed and marketed by Los Angeles Apparel and Christian Siriano are reflections of this broader shift in the cultural climate. Mega-influencers like Kim Kardashian and Bella Hadid have also endorsed them with pandemic-era selfies, lending masks a stamp of pop-culture-approved normalcy. ","1585639308","11"
"74","Though the science behind the effectiveness of masks is far from exact, living through the pandemic will undeniably alter Western attitudes about them, as well as government policy. And as the memory of Covid-19 becomes permanently enmeshed with the national psyche, masks are likely to become a fixture of our post-pandemic world.","1585639308","11"
"75","The images of Wisconsin’s recent election — the first in-person election held during the height of the Covid-19 US outbreak — were dystopian. In Milwaukee, where the number of available polling places shrank from 180 to just five for a city of about 592,000 people, voters wearing surgical masks stood 6 feet apart in lines stretching around the block. One woman held up a large homemade sign emblazoned with the words “This is ridiculous.” ","1585639308","11"
"76","Working through grief is an isolating process, but it’s somehow even lonelier with my world shrunk to a 500-square-foot apartment. It’s in my nature to ask for some space, but now all I have is space. There were traditional observances we missed out on, but I was robbed of the comforting rituals, too: going through boxes of my grandfather’s old photos, yelling to my sisters in the other room for waterproof mascara, having a “take your mind off it” dinner with friends where everything felt normal again for one night. Instead of finding solace through support and human connection, I “went” back to work the next day and tried to live with the loss. I got burned out from answering sympathetic text messages. I took a government-approved solitary walk and cried openly on the sidewalk, my face mask drawing a curtain around me. It was all so anticlimactic that some days I forget he’s even gone.","1585639275","11"
"77","On a recent Friday night in Hong Kong, two police vans idled outside an upscale Italian restaurant on Wyndham Street. Only a few months earlier, their presence might have been an ominous sign that a unit of anti-protest riot cops was in the area, tear gas and pepper spray at the ready. But as is the case for much of daily life here since January, Hong Kong has moved from a state of protest to pandemic, and that night, instead of an armed “raptor” force wearing dark green fatigues and gas masks, the vans discharged a group of what looked like ordinary patrolmen in simple short-sleeve uniforms and surgical masks. ","1585815543","11"
"78","Can diners in Taipei, Hong Kong, Korea, China send me photos of what it looks like in restaurants. How the seating is set up? Are all the servers wearing masks and gloves.What are guests wearing? If anyone works in kitchens how are you dealing w new protocol?","1585815543","11"
"79","And so, with the number of newly reported COVID-19 cases in Hong Kong staying firmly in single digits over the preceding few days, I traded house socks for chukka boots, slipped on a surgical mask, and did what many in the U.S. have been longing to do for weeks. I went out for dinner.","1585815543","11"
"80","Having an infrared thermometer pointed at your forehead in a non-medical setting might kill the mood in America, but in Hong Kong it blends in relatively naturally with the rest of the ways the city has become visibly anti-contagion since the SARS outbreak more than 16 years ago. Signs in elevators remind riders how often the buttons are sterilized. Hand sanitizer has been a lobby staple for years. And then there are the masks. ","1585815543","11"
"81","Well before COVID-19, it would’ve been hard to go a day in Hong Kong and not see someone wearing a mask. They’re common enough that if you met a friend on the street and someone asked you later if the friend had worn one, you might not remember. In restaurants, I’d seen staff wearing masks from time to time too, though almost never in more upscale situations. But at Frank’s — as with every other restaurant I checked in on — all staff wore the same thin, blue surgical masks Hong Kongers had been wearing on the street for years.","1585815543","11"
"82","While Hong Kong’s pre-existing mask culture somewhat prepared me, in the U.S., it might have felt a little like a mass text had gone out on Halloween, where the in-joke was that instead of asking everyone to dress in a sexy costume, every costume would be a surgeon: Surgeon servers. Surgeon cooks. A surgeon DJ. Even having lived with regular mask culture for years now — and among their near-ubiquity for weeks — seeing every single person who handled my food and drink wear the tell-tale sign of medical caution was jarring. ","1585815543","11"
"83","Still, not long into the meal, as the unnerving feeling began to subside, it was quickly replaced by communication issues. I’ve heard a lot of people lament the non-verbal communication lost behind masks, the missed smiles or bitten lips, but more difficult for me were the few times I couldn’t understand what my server was trying to ask me. He was enunciating clearly at a volume well above the ambient noise, but without seeing half his face, he may as well have held his hand behind his back and asked me, “How many fingers?” “Sure,” I replied the first time this happened, and the result was a side of squash I didn’t think I’d ordered. (It was great.)","1585815543","11"
"84","After dinner, I picked my own mask up off my knee, where it had remained throughout the meal, and headed downstairs for a cocktail. I ordered at the bar, got my drink at the bar, and then immediately had to walk away from the bar and stand against the far wall. The bar itself had no stools, and featured printouts explaining that customers could not hang out at the bar. In a total reverse of the usual crush to buy drinks, the few guests in the quarter-full room were clustered in small groups against the far wall with me. Only they weren’t with me at all. ","1585815543","11"
"85","Outside, I walked back past the cops and did a quick loop through an eerily empty Lan Kwai Fong, before wandering back up towards Soho to see how restaurants were doing there. Turning up Peel Street, I was only half-surprised to see several large gaggles of maskless expats drinking out in front of restaurants on the dead-end road. You know that particular genre of sports bloopers where an athlete begins celebrating right on the verge of winning, only to have victory snatched away by someone actually digging for those last few inches? I’ve gotten some good schadenfreude out of those scenes, but with only one new case of COVID reported in Hong Kong the day before my night out, these people felt like the last link on our whole city’s relay team, and their confidence made me nervous. ","1585815543","11"
"86","Steam rose in the open kitchen, swirling past a flurry of masked chefs shuffling around their stations. What felt like more servers than I can ever remember seeing on that floor swarmed about the dining room. And everywhere there were people eating. Everywhere, except of course within about six feet on all sides of me. If my distant neighbors and I had shared a brief conversation before I finished my drink, decided there was no point in trying to stay out anymore, and headed home, it most likely would’ve consisted of an exaggerated wave and a pantomimed shout, as if we each occupied either side of an enormous cavern, and could never get much closer than we were already. It would’ve been mildly funny. And mostly true.","1585815543","11"
"87","Amid a nationwide shortage of tests and personal protective equipment such as masks and respirators, some have used their privilege to their advantage — and flaunted the results on social media. As health care workers across the country resort to using ski goggles as eye shields and average Americans apply DIY mask patterns to old T-shirts, models like Bella Hadid and Naomi Campbell are posting photos in protective equipment that’s nearly impossible to procure.","1585904246","11"
"88","Others, such as Kris Jenner, the matriarch of the Kardashian empire, have been tested for the coronavirus even without showing symptoms, while in other parts of Los Angeles, officials refused tests to people whose loved ones had died of Covid-19. Some fans are unfazed (“You are still freaking beautiful with a mask on,” someone posted on Gwyneth Paltrow’s selfie in a device that looked even more complex than the coveted N95), but comments sections reveal growing frustration. “[Y]ou better be donating any of the extra masks you have to nurses,” one commenter wrote on actress Kate Hudson’s photo in a surgical cover.","1585904246","11"
"89","In the first crucial weeks of the coronavirus spreading in the United States, Americans were instructed to wear a face mask only if they were sick. In the absence of widespread testing, that most likely meant you’d wear a face mask if you felt the symptoms of Covid-19. ","1585904242","11"
"90","That’s why face masks are important for both sick and presumably healthy people, say public health experts Shan Soe-Lin and Robert Hecht. In early April, the US Centers for Disease control reversed their recommendations on face mask use and now advise that Americans should wear homemade cloth masks regardless of whether they are sick or symptomatic. ","1585904242","11"
"91","The inconsistency in recommendations led to a lot of confusion about whether face masks work. They do work, but they shouldn’t be thought of as a panacea in the fight against Covid-19, Soe-Lin and Hecht said. Instead, they should be employed along with social distancing and hand-washing as a three-pronged effort to stay healthy. ","1585904242","11"
"92","The senators wrote with urgency, spurred by recent reports from black men who say they were racially profiled for wearing protective face masks, a measure the CDC recommends to prevent Covid-19. ","1586006263","11"
"93","In a video that went viral earlier this month, an officer in Miami stepped out of his squad car to arrest a black man with a face mask moving items near a van filled with equipment. It took the unmasked officer just over 60 seconds to put the man in handcuffs and detain him. It’s now known that the man, Armen Henderson, was a doctor who has volunteered to test homeless people for Covid-19.  ","1586006263","11"
"94","In Wood River, Illinois, last month, two black men wearing surgical masks recorded themselves being trailed by a cop, who was occasionally gripping his gun, in a Walmart store. One of the men said that when the officer approached them, he wrongly told them that there was a national and state order banning the wearing of face masks. The local police department has opened an investigation into the incident and told the Washington Post that the officer followed the men because he believed they were “acting suspiciously.” In the video, the men expressed dismay: “We’re being asked to leave for being safe.” ","1586006263","11"
"95","Now, one of the few practices that could potentially save more black lives — wearing masks — could create the opposite effect. In early April, when the CDC first recommended that all Americans wear face coverings in public, black men were quick to express hesitation: wearing face coverings would intensify racist perceptions of criminality, especially to police. In essence, black men have to pick their poison — risk their lives (and the lives of others) to Covid-19 by not wearing a mask, risk their lives to police officers who see them as suspicious while wearing a mask, or some tragic amalgamation of both.","1586006263","11"
"96","Stop-and-frisk is just one of many reasons why black people have come to distrust law enforcement. In a pandemic, fears of being profiled and stopped may force them to forgo key safeguards like wearing a facemask or calling on police for help. Plus, wearing a face mask may lead to more stress that comes with being a perpetual victim of racism. In turn, stress exacerbates the aforesaid Covid-19 risk factors; then comes death.","1586006263","11"
"97","In the case of traffic stops, Flowers points to a Stanford University study of data from 2015 that found that blacks are more likely to be pulled over and searched for illegal substances than white Americans. This is because of implicit bias, Flowers says, not because black drivers are more likely to be carrying illegal substances. “Now add people wearing masks. My experience, rooted in empirical evidence, suggests that bad decisions by law enforcement due to implicit and even explicit bias will only get worse [during the pandemic].”","1586006263","11"
"98","Greater transparency is a step on the way to culture change. Similar to the recent national push for Covid-19 data disaggregated by race and ethnicity, there must be a push for regular information about coronavirus-related arrests by race and other markers like socioeconomic status. Mauer says we must question how police agencies might be defining crime differently right now. For example, if someone is arrested while wearing a mask, or for not wearing a mask, we must first understand how police departments are identifying this as a crime. ","1586006263","11"
"99","(The early evidence that seemingly healthy people can still infect others with the coronavirus is one of the main reasons behind the US Centers for Disease Control and Prevention’s recommendation that everyone wear a mask in public: so that people who don’t know they have the virus don’t accidentally infect others with it.) ","1586025051","11"
"100","In the meantime, all of these mounting data support continued social distancing practices, mask-wearing, and other preventative measures for everyone — no matter how healthy they feel.","1586025051","11"
